Row,WCrobust04
307,0.467837440890298
310,0.556154355979841
321,0.247164741300273
325,0.472268493844588
330,0.200369857416795
336,0.253358440608328
341,0.3753661663
344,0.0785829784598247
345,0.526895482084289
347,0.495293022729073
350,0.687687459614952
353,0.59706091810654
354,0.328641544027747
355,0.216682362885168
356,0.019057726904542
362,0.712985765888746
363,0.265464782948258
367,0.23315053389214
372,0.51380127637066
375,0.231128449653701
378,0.298121682260779
379,0.281293536538742
389,0.354274073382873
393,0.588380959862458
394,0.000833721476525577
397,0.537525638964837
399,0.367728535692695
400,0.472564292238821
404,0.18003906767055
408,0.295007595016483
414,0.235058883941283
416,0.509780153070066
419,0.284127344857835
422,0.563497791624627
423,0.574054897431478
426,0.119122024266452
427,0.459280635215374
433,0.0490895756121403
435,0.109757922003103
436,0.460351365643216
439,0.293249297110546
442,0.44219411702007
443,0.208744800600503
445,0.651921663368778
614,0.491766775810037
620,0.318425304410405
626,0.458638398639745
646,0.619091918438571
677,0.600301350391567
690,0.251078647474827
