Row,WCrobust04
307,0.466591654186586
310,0.49897251670633
321,0.535893756639479
325,0.565885825087035
330,0.523173796477963
336,0.219551417380081
341,0.631322059798332
344,0.11004588314904
345,0.5
347,0.842559934666184
350,0.8165901947516
353,0.931507644850844
354,0.804536307899889
355,0.23313873588182
356,0
362,0.656815380969139
363,0.203418720795666
367,0.114897805037343
372,0.448030027975838
375,0.157440065333815
378,0.693663469343566
379,0.470101740037407
389,0.457428441179189
393,0.666425955387502
394,0
397,0.863015289701688
399,0.413166664326004
400,0.454337099706536
404,0.32207017906904
408,0.319095250639566
414,0.416104635931806
416,0.760319124197502
419,0.572834668765428
422,0.861137556126445
423,0.610187093053716
426,0.34397546138911
427,0.541254841193092
433,0.268737455526895
435,0
436,0.300981458577404
439,0.318944588262146
442,1
443,0.927673753783468
445,1
614,0.968189605900524
620,0.623026519236681
626,0.758579222462473
646,0.707640383544371
677,0.575533869472297
690,0.291479885843405
