Row,WCrobust0405,rpl_wcrobust0405_1,rpl_wcrobust0405_10,rpl_wcrobust0405_11,rpl_wcrobust0405_12,rpl_wcrobust0405_13,rpl_wcrobust0405_14,rpl_wcrobust0405_15,rpl_wcrobust0405_16,rpl_wcrobust0405_17,rpl_wcrobust0405_18,rpl_wcrobust0405_19,rpl_wcrobust0405_2,rpl_wcrobust0405_20,rpl_wcrobust0405_21,rpl_wcrobust0405_22,rpl_wcrobust0405_23,rpl_wcrobust0405_24,rpl_wcrobust0405_25,rpl_wcrobust0405_26,rpl_wcrobust0405_27,rpl_wcrobust0405_28,rpl_wcrobust0405_29,rpl_wcrobust0405_3,rpl_wcrobust0405_30,rpl_wcrobust0405_31,rpl_wcrobust0405_32,rpl_wcrobust0405_33,rpl_wcrobust0405_34,rpl_wcrobust0405_35,rpl_wcrobust0405_36,rpl_wcrobust0405_37,rpl_wcrobust0405_38,rpl_wcrobust0405_39,rpl_wcrobust0405_4,rpl_wcrobust0405_40,rpl_wcrobust0405_41,rpl_wcrobust0405_42,rpl_wcrobust0405_43,rpl_wcrobust0405_44,rpl_wcrobust0405_45,rpl_wcrobust0405_46,rpl_wcrobust0405_47,rpl_wcrobust0405_48,rpl_wcrobust0405_49,rpl_wcrobust0405_5,rpl_wcrobust0405_50,rpl_wcrobust0405_6,rpl_wcrobust0405_7,rpl_wcrobust0405_8,rpl_wcrobust0405_9
378,0.85,0.8,0.8,0.85,0.9,0.9,0.75,0.9,0.9,0.8,0.5,0.9,0.9,0.8,0.95,0,0.7,0.8,0.85,0.8,0.85,0,0.8,0.8,0.6,0.75,0.7,0.9,0.85,0,0,0.75,0.8,0.8,0.95,0.8,0.8,0.8,0.85,0.85,0.8,0.85,0.9,0.8,0.8,0,0.75,0.7,0.8,0.8,0.55
379,0.35,0.6,0.05,0.4,0.5,0.45,0.45,0.35,0.2,0.15,0,0.5,0.5,0.55,0.7,0,0.2,0.7,0.65,0.7,0.45,0,0.5,0.6,0.4,0.1,0.3,0.5,0.15,0,0,0,0,0.6,0.7,0.7,0.65,0.6,0.4,0.4,0.55,0.65,0.65,0.6,0.6,0,0.35,0.3,0.55,0.7,0.4
389,0.7,0.65,0.55,0.6,0.6,0.65,0.7,0.8,0.75,0.75,0.45,0.75,0.65,0.65,0.6,0,0.7,0.6,0.6,0.6,0.55,0,0.65,0.65,0.35,0.65,0.65,0.65,0.8,0.7,0.65,0.65,0.6,0.6,0.6,0.75,0.7,0.65,0.65,0.65,0.65,0.65,0.7,0.65,0.65,0,0.55,0.65,0.65,0.6,0.4
393,1,1,0.9,1,1,1,1,1,1,0.95,0.85,1,1,1,0.95,0.2,0.9,1,0.95,1,1,0.25,0.9,1,0.95,0.95,0.9,1,1,0.75,1,1,1,1,0.95,0.95,0.95,1,1,0.9,1,1,1,0.95,0.95,0.2,0.95,0.9,1,1,0.9
394,0.85,1,0,0.8,1,1,0.75,0.8,0.75,0.6,0.65,0.95,0.95,1,1,0,0.9,1,1,1,1,0,1,1,1,0.8,0.9,0.95,0.55,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.9,1,0,1,0.9,1,1,0.75
397,0.95,0.85,0.15,0.85,0.85,0.85,0.8,0.8,0.8,0.75,0.65,0.8,0.8,0.85,0.9,0.45,0.8,0.9,0.85,0.85,0.85,0.45,0.85,0.85,0.95,0.8,0.8,0.8,0.7,0,0.7,0.7,0.85,0.85,0.9,0.6,0.6,0.75,0.9,0.85,0.9,0.85,0.85,0.9,0.9,0.4,0.85,0.8,0.85,0.85,0.85
399,0.85,0.9,0.55,0.95,0.95,0.9,0.9,0.9,0.7,0.8,0.85,0.9,0.9,0.9,0.95,0,0.95,0.9,0.9,0.9,0.95,0,0.95,0.9,0.15,0.9,0.95,0.9,0.9,0.35,0.9,0.9,0.9,0.9,0.95,0.85,0.9,0.9,0.95,0.95,0.9,0.9,0.9,0.9,0.95,0,0.95,0.95,0.9,0.9,0.65
400,0.6,0.65,0.8,0.85,0.75,0.7,0.65,0.65,0.55,0.35,0.45,0.6,0.5,0.7,0.65,0.1,0.7,0.65,0.5,0.65,0.65,0.15,0.5,0.65,0.5,0.65,0.65,0.5,0.5,0.1,0.1,0.7,0.65,0.6,0.65,0.7,0.7,0.7,0.65,0.65,0.6,0.6,0.6,0.65,0.75,0.1,0.65,0.65,0.7,0.65,0.45
404,0.65,0.65,0.3,0.6,0.6,0.65,0.75,0.65,0.6,0.5,0.45,0.65,0.6,0.6,0.75,0,0.6,0.6,0.6,0.6,0.5,0,0.5,0.65,0.25,0.65,0.65,0.6,0.35,0.55,0.55,0.7,0.7,0.7,0.75,0.35,0.5,0.7,0.65,0.65,0.65,0.65,0.75,0.7,0.7,0,0.7,0.65,0.6,0.6,0.35
408,0.9,1,0.9,0.95,1,1,0.95,0.95,0.8,0.7,0.4,1,0.95,0.95,1,0.05,1,1,1,1,1,0.1,1,1,0.7,1,1,0.95,0.6,0.4,0.9,1,1,1,1,0.9,0.95,1,0.95,0.9,1,1,1,1,0.95,0.05,0.95,1,0.95,1,0.95
414,0.5,0.5,0,0.3,0.55,0.6,0.4,0.55,0.5,0.2,0.05,0.45,0.45,0.5,0.3,0.05,0.2,0.45,0.55,0.4,0.25,0.1,0.2,0.5,0.1,0.1,0.2,0.45,0.4,0,0,0,0.5,0.5,0.3,0.5,0.5,0.45,0.2,0.2,0.45,0.5,0.45,0.45,0.4,0.05,0.45,0.2,0.5,0.4,0.2
416,1,1,0.95,1,1,1,1,1,1,0.9,0.5,1,1,1,1,0.3,1,1,1,1,1,0.3,1,1,0.4,1,1,1,1,0.95,1,1,1,1,1,0.9,0.95,1,1,0.95,1,1,1,1,1,0.3,1,1,1,1,0.75
419,0.45,0.5,0.3,0.4,0.45,0.45,0.45,0.45,0.45,0.2,0.2,0.5,0.55,0.45,0.35,0,0.35,0.45,0.5,0.45,0.45,0.05,0.45,0.5,0.35,0.25,0.35,0.55,0.4,0,0,0,0.45,0.45,0.35,0.45,0.45,0.5,0.5,0.45,0.4,0.5,0.45,0.45,0.4,0,0.4,0.35,0.45,0.45,0.3
422,0.95,0.9,0.35,0.9,0.9,0.9,0.95,0.95,0.9,0.75,0.8,0.9,0.9,0.9,0.95,0.35,0.95,1,0.9,0.95,0.95,0.45,0.95,0.9,0.95,0.95,0.95,0.9,0.85,0.45,0.95,0.95,0.95,0.9,0.95,0.95,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.95,0.9,0.4,0.75,0.95,0.9,0.95,0.85
423,0.95,0.75,0.75,0.85,0.8,0.8,0.75,0.7,0.75,0.75,0.75,0.6,0.6,0.8,0.6,0.05,0.9,0.8,0.55,0.8,0.45,0.05,0.9,0.75,0.85,0.65,0.9,0.6,0.55,0,0,0,0,0.75,0.6,0.6,0.65,0.75,0.9,0.9,0.8,0.75,0.85,0.35,0.35,0.05,0.3,0.9,0.8,0.8,0.8
426,0.95,0.9,0.15,0.65,0.9,0.95,0.9,0.85,1,0.9,0.8,0.35,0.35,0.85,0.65,0,0.75,0.8,0.25,0.9,0.3,0,0.9,0.9,0.55,0.65,0.85,0.35,0.7,0,0.85,0.9,0.9,0.9,0.65,0.45,0.65,0.9,0.95,0.95,0.85,0.9,0.9,0.45,0.4,0,0.5,0.85,0.85,0.9,0.5
427,0.75,0.7,0.4,0.6,0.7,0.7,0.8,0.75,0.65,0.75,0.75,0.6,0.65,0.7,0.7,0.1,0.75,0.7,0.8,0.75,0.65,0.15,0.65,0.7,0.5,0.7,0.75,0.65,0.6,0.2,0.65,0.65,0.65,0.75,0.7,0.6,0.65,0.75,0.7,0.65,0.7,0.75,0.8,0.55,0.45,0.15,0.55,0.75,0.7,0.75,0.65
433,0.45,0.35,0.15,0.25,0.35,0.35,0.35,0.45,0.4,0.45,0.4,0.15,0.15,0.3,0.2,0.05,0.4,0.3,0.15,0.25,0.2,0.1,0.3,0.35,0.3,0.25,0.4,0.15,0.15,0,0.05,0.05,0.3,0.35,0.2,0.25,0.25,0.3,0.45,0.45,0.35,0.25,0.25,0.2,0.2,0.05,0.15,0.4,0.3,0.25,0.4
435,0.45,0.45,0.1,0.35,0.5,0.4,0.35,0.25,0.15,0.05,0.2,0.35,0.35,0.45,0.45,0,0.25,0.45,0.5,0.4,0.4,0,0.3,0.45,0.25,0.3,0.2,0.35,0.15,0,0.5,0.45,0.45,0.45,0.45,0.1,0.2,0.45,0.45,0.5,0.45,0.45,0.45,0.4,0.5,0,0.55,0.2,0.45,0.4,0.1
436,0.8,0.9,0.7,0.8,0.85,0.9,0.9,0.8,0.7,0.65,0.6,0.95,0.95,0.85,0.85,0.05,0.65,0.95,0.95,1,1,0.25,0.95,0.9,0.95,0.85,0.8,0.95,0.8,0.9,0.9,0.9,0.9,0.9,0.85,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.95,0.95,0.9,0.1,1,0.8,0.85,1,0.65
439,0.7,0.85,0,0.7,0.8,0.75,0.65,0.6,0.55,0.5,0.35,0.65,0.55,0.8,0.85,0.05,0.8,0.8,0.3,0.85,0.65,0.05,0.85,0.85,0.1,0.7,0.8,0.55,0.35,0,0.8,0.8,0.8,0.8,0.85,0.25,0.35,0.8,0.75,0.7,0.85,0.9,0.9,0.9,0.85,0.05,0.85,0.8,0.8,0.85,0.1
442,1,1,0.15,0.65,0.85,0.85,1,0.9,0.85,0.55,0.4,0.8,0.7,1,0.95,0,0.8,0.95,0.35,0.95,0.35,0,0.9,1,0.65,0.8,0.85,0.7,0.65,0.05,0.05,0.05,0.95,1,0.95,0.95,0.95,0.95,1,0.95,1,1,1,0.95,0.95,0,0.9,0.85,1,0.95,0.8
443,1,1,0.5,0.75,1,1,1,1,0.9,0.9,0.65,0.8,0.85,1,0.95,0.1,0.9,1,0.9,1,0.95,0.1,0.9,1,0.6,0.6,0.95,0.85,0.6,0,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,0.2,0.95,0.95,1,1,0.5
445,0.85,0.9,0.2,0.8,0.9,0.95,0.9,0.85,0.75,0.75,0.7,0.8,0.75,0.95,0.75,0.1,0.7,0.85,0.7,0.85,0.7,0.1,0.7,0.9,0.85,0.55,0.7,0.75,0.75,0.3,0.55,0.95,0.95,0.9,0.75,0.8,0.8,0.95,0.95,0.95,0.9,0.85,0.85,0.7,0.7,0.1,0.7,0.7,0.95,0.85,0.85
614,0.9,0.85,0,0.65,0.9,0.9,0.85,0.9,0.85,0.8,0.75,0.9,0.9,0.85,0.6,0.3,0.85,0.85,0.8,0.9,0.6,0.3,0.85,0.85,0.9,0.4,0.8,0.9,0.8,0.05,0.05,0.2,0.85,0.85,0.6,0.8,0.8,0.85,0.85,0.85,0.8,0.8,0.6,0.65,0.6,0.35,0.3,0.8,0.85,0.9,0.9
620,0.55,0.45,0.05,0.4,0.45,0.55,0.5,0.5,0.4,0.4,0.5,0.45,0.45,0.45,0.45,0.05,0.4,0.45,0.45,0.5,0.3,0.1,0.5,0.45,0.45,0.25,0.5,0.45,0.35,0,0,0,0.05,0.45,0.45,0.45,0.45,0.45,0.5,0.55,0.45,0.45,0.45,0.5,0.35,0.05,0.35,0.5,0.45,0.5,0.5
626,0.75,0.8,0.1,0.4,0.55,0.6,0.75,0.8,0.7,0.75,0.7,0.85,0.85,0.8,0.85,0.55,0.8,0.75,0.7,0.75,0.3,0.45,0.75,0.8,0.75,0.45,0.8,0.85,0.8,0.05,0.25,0.25,0.8,0.8,0.85,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.8,0.8,0.6,0.55,0.45,0.8,0.8,0.75,0.8
646,0.9,0.9,0,0.65,0.9,0.9,0.9,0.8,0.75,0.75,0,0.95,0.9,0.9,0.8,0.45,0.45,0.8,0.95,0.85,0.85,0.35,0.6,0.9,0.8,0.25,0.55,0.9,0.95,0,0,0,0,0.85,0.8,0.85,0.85,0.85,0.8,0.75,0.9,0.9,0.85,0.8,0.7,0.45,0.7,0.6,0.9,0.85,0.75
677,0.6,0.6,0,0.55,0.6,0.6,0.6,0.6,0.6,0,0,0.6,0.6,0.6,0.6,0.3,0.6,0.6,0.6,0.6,0.6,0.35,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0.15,0.15,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.55,0.35,0.5,0.6,0.6,0.6,0.6
690,0.45,0.35,0,0.1,0.3,0.45,0.35,0.5,0.35,0.1,0.1,0.2,0.15,0.35,0.3,0.1,0.2,0.45,0.35,0.55,0.3,0.05,0.4,0.35,0.35,0.2,0.3,0.15,0.4,0,0,0,0,0.35,0.3,0.35,0.35,0.35,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0,0.3,0.3,0.35,0.6,0.25
