Row,WCrobust0405,rpl_wcrobust0405_1,rpl_wcrobust0405_10,rpl_wcrobust0405_11,rpl_wcrobust0405_12,rpl_wcrobust0405_13,rpl_wcrobust0405_14,rpl_wcrobust0405_15,rpl_wcrobust0405_16,rpl_wcrobust0405_17,rpl_wcrobust0405_18,rpl_wcrobust0405_19,rpl_wcrobust0405_2,rpl_wcrobust0405_20,rpl_wcrobust0405_21,rpl_wcrobust0405_22,rpl_wcrobust0405_23,rpl_wcrobust0405_24,rpl_wcrobust0405_25,rpl_wcrobust0405_26,rpl_wcrobust0405_27,rpl_wcrobust0405_28,rpl_wcrobust0405_29,rpl_wcrobust0405_3,rpl_wcrobust0405_30,rpl_wcrobust0405_31,rpl_wcrobust0405_32,rpl_wcrobust0405_33,rpl_wcrobust0405_34,rpl_wcrobust0405_35,rpl_wcrobust0405_36,rpl_wcrobust0405_37,rpl_wcrobust0405_38,rpl_wcrobust0405_39,rpl_wcrobust0405_4,rpl_wcrobust0405_40,rpl_wcrobust0405_41,rpl_wcrobust0405_42,rpl_wcrobust0405_43,rpl_wcrobust0405_44,rpl_wcrobust0405_45,rpl_wcrobust0405_46,rpl_wcrobust0405_47,rpl_wcrobust0405_48,rpl_wcrobust0405_49,rpl_wcrobust0405_5,rpl_wcrobust0405_50,rpl_wcrobust0405_6,rpl_wcrobust0405_7,rpl_wcrobust0405_8,rpl_wcrobust0405_9
307,1,1,0.6,1,1,1,0.8,0.6,0.8,0.8,0.8,0.8,0.8,1,1,0.4,1,1,1,1,1,0.4,1,1,0.2,1,1,0.8,0.8,0.4,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,0.4,1,1,1,1,0.2
310,1,1,1,1,1,1,1,1,1,0.8,0.6,1,1,1,1,0.2,1,1,1,1,1,0.4,1,1,1,1,1,1,0.8,0,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1
321,0.6,0.8,0,0.4,0.4,0.4,0.8,0.8,1,0.2,0.4,1,1,0.4,0.6,0,0.8,0.2,0.8,0.6,0.8,0,0.8,0.8,0.6,0.4,0.8,1,0.6,0,0,0.8,0.8,0.8,0.6,0,0.2,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0,0.6,0.8,0.4,0.6,0.4
325,0.8,1,0.8,0.8,1,1,1,0.8,0.8,0.8,0.8,1,1,0.8,1,0,1,0.8,1,0.8,1,0,1,1,0.8,1,1,1,1,0.8,0.8,1,1,1,1,0.8,0.8,1,1,1,1,1,1,1,1,0,1,1,0.8,0.8,0.8
330,0.6,1,0.4,0.6,0.8,0.8,1,0.6,0.6,0.8,0,0.6,0.6,1,1,0,0.8,1,0.8,1,1,0.2,0.8,1,0.4,0.8,0.6,0.6,0.8,1,1,1,1,1,1,1,1,1,0.8,0.6,1,1,0.8,0.8,0.8,0,1,0.6,1,1,0.6
336,0.6,0.8,0.4,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.6,0,0.8,0.8,0.6,0.8,0.8,0,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0,0,0.6,0.6,0.8,0.6,0.6,0.6,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0,0.6,0.8,0.8,0.8,0.8
341,0.8,0.8,0.4,0.6,0.4,0.8,0.8,0.8,0.4,0.8,0.6,1,1,0.8,0.6,0,0.4,0.8,0.8,0.8,0.6,0,0.8,0.8,0.8,0.4,0.4,1,0.8,0,0,0.8,0.8,0.8,0.6,0.8,0.8,0.8,1,1,0.8,0.8,0.8,0.8,0.6,0,0.8,0.4,0.8,0.8,0.4
344,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,1,1,1,1,1,1,1,1,1,0.6,0.8,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
347,1,1,0.4,0.6,0.8,0.8,1,1,1,1,1,1,1,1,1,0,0.4,1,1,1,1,0,0.6,1,0.2,0.6,0.4,1,1,0.2,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0,1,0.4,1,1,0.4
350,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,0.8,0,0.8,1,1,1,1,0.2,0.8,1,1,1,0.8,1,1,0.2,0.2,1,1,1,0.8,1,1,1,1,1,1,1,1,1,0.8,0,0.8,0.8,1,1,1
353,0.8,0.8,0.2,0.6,0.8,0.8,0.8,0.8,0.8,1,1,0.2,0.2,0.8,0.6,0,0.8,0.4,0.4,0.4,0.6,0,0.4,0.8,0.2,0.4,0.8,0.2,0.2,0,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.6,0.8,0.6,0.4,0.2,0.2,0,0.2,0.8,0.8,0.4,0.8
354,1,1,0.6,1,1,1,1,1,1,1,0.4,1,1,1,1,0.6,1,1,1,1,0.8,0.6,0.8,1,0.2,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,0.6
355,0.6,0.8,0.2,0.8,0.8,0.8,0.6,0.6,0.8,0.6,0.2,0.6,0.6,0.6,0.8,0,0.6,0.8,0.6,0.8,0.6,0,0.8,0.8,0.6,0.8,0.8,0.6,0.6,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0,0.8,0.8,0.6,0.8,0.8
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,1,1,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.2,0.8,1,1,1,1,1,1,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1
363,0.8,1,0.4,0.8,1,1,1,1,0.8,1,0.8,1,1,0.8,1,0,0.8,1,1,1,1,0.2,1,1,1,1,0.8,1,1,0,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,0,0.6,0.8,0.8,1,1
367,0.4,0.4,0.4,0.2,0.4,0.6,0.4,0.4,0.6,0.4,0.2,0.4,0.6,0.4,0.6,0,0.2,0.4,0.6,0.4,0.6,0,1,0.4,0.2,0.4,0.4,0.6,0,0.2,0.6,0.4,0.4,0.4,0.6,0.8,0.6,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0,0.6,0.4,0.4,0.4,0.2
372,1,1,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,0.4,1,1,0.8,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4,1,1,1,1,0.8
375,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.2,0.2,0,0.2,0.2,0.6,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2
378,1,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,1,1,0.8,0.8,1,0,0.6,0.8,1,0.8,0.8,0,0.8,0.8,0.8,0.8,0.6,0.8,1,0,0,0.8,0.8,0.8,1,0.8,0.8,0.8,1,1,0.8,0.8,0.8,0.8,0.8,0,0.8,0.6,0.8,0.8,1
379,0.6,0.4,0,0.2,0.4,0.2,0.4,0.4,0.4,0,0,0.6,0.6,0.4,0.8,0,0.2,0.6,0.6,0.6,0.8,0,0.6,0.4,0.4,0.2,0.4,0.6,0.4,0,0,0,0,0.4,0.8,0.6,0.6,0.4,0.8,0.6,0.4,0.6,0.8,0.6,0.6,0,0.2,0.4,0.4,0.6,0.4
389,1,1,0.6,0.8,0.8,0.8,1,1,1,0.8,0.2,0.8,0.8,1,1,0,0.6,1,0.8,1,1,0,0.6,1,0.6,0.6,0.6,0.8,0.8,1,0.8,1,1,1,1,1,1,1,0.8,0.8,1,0.8,0.8,1,1,0,1,0.6,1,1,0.6
393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.2,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1
394,1,1,0,1,1,1,1,1,1,0.8,0.6,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
397,0.8,0.8,0.4,0.8,0.6,0.8,1,0.8,0.6,0.6,1,1,1,0.8,1,0,0.8,1,0.8,1,0.8,0.4,1,0.8,1,1,0.8,1,0.6,0,0.6,0.6,1,0.8,1,0.6,0.6,0.8,1,1,0.8,0.8,1,1,1,0.2,1,0.8,0.8,1,1
399,1,0.8,0.4,0.8,0.8,1,0.8,0.8,0.8,1,1,1,1,0.8,0.8,0,1,1,1,1,1,0,1,0.8,0,1,1,1,0.8,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,0,1,1,0.8,1,0.8
400,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.6,0.6,0.8,0.8,0.8,0.6,0.2,0.6,0.4,0.8,0.4,0.2,0.2,0.4,0.8,0.2,0.6,0.4,0.8,0.8,0.2,0.2,0.6,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.8,1,0.2,0.8,0.4,0.8,0.4,0.4
404,0.6,0.8,0.4,0.6,0.6,0.4,0.8,0.6,0.6,0.8,0.6,0.8,0.6,0.8,0.8,0,0.8,0.6,0.6,0.6,0.6,0,0.6,0.8,0.2,0.6,0.8,0.6,0.4,0.6,0.6,0.8,0.8,0.8,0.8,0.2,0.6,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0,0.8,0.8,0.8,0.6,0.4
408,0.8,1,1,1,1,1,1,1,0.8,0.6,0.6,1,1,1,1,0,1,1,1,1,1,0,1,1,0.8,1,1,1,0.6,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
414,0.6,0.6,0,0.8,0.6,0.6,0.2,0.4,0.8,0.2,0,0.8,0.8,0.4,0.6,0,0.4,0.4,0.8,0.4,0.4,0.2,0.6,0.6,0.2,0.4,0.6,0.8,0.6,0,0,0,0.6,0.6,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.4,0.6,0.2,0.8,0.6,0.4,0.4,0.2
416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,0.4,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4,1,1,1,1,1
419,0.2,0.6,0.4,0.6,0.4,0.2,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0,0.2,0.4,0.4,0.4,0.6,0,0.2,0.6,0.2,0.2,0.2,0.6,0.6,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.2,0.2,0.6,0.6,0.6,0.6,0.8,0,0.8,0.2,0.6,0.4,0.2
422,0.8,0.8,0.4,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0,0.8,1,1,1,1,0.2,1,0.8,1,1,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,0,0.8,0.8,0.8,1,0.8
423,0.8,0.8,0.8,1,1,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.4,0.8,0.4,0,1,0.8,0.6,0.8,0.6,0.2,1,0.8,1,1,1,0.4,0.6,0,0,0,0,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.6,0.2,0.4,1,0.8,0.8,0.8
426,0.8,1,0.2,0.8,1,1,1,1,1,0.8,0.8,0.2,0.2,1,0.8,0,0.8,1,0.4,1,0.6,0,0.8,1,0.4,1,1,0.2,0.6,0,0.8,0.8,1,1,0.8,0.4,0.6,0.8,1,1,1,0.8,0.8,0.6,0.6,0,0.4,1,1,1,0.8
427,1,0.8,0.2,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,1,1,0.8,0.8,0.4,0.8,1,1,1,0.8,0.2,1,0.8,0.6,0.8,0.8,1,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,0.8,1,1,1,0.8,0.4,0.8,0.8,0.8,1,1
433,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.6,0.2,0.6,0.8,0.6,0.8,0.6,0.2,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0,0.2,0.2,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.6,0.6,0.2,0.6,0.6,0.8,0.8,0.8
435,0.2,0.8,0,0.2,0.6,0.6,0.4,0.2,0,0,0.2,0.6,0.6,0.6,0.8,0,0.4,0.8,0.8,1,0.8,0,0.4,0.8,0.4,0.4,0.4,0.6,0.2,0,0.8,0.8,0.8,0.8,0.8,0.2,0.4,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0.8,0.4,0.6,1,0
436,0.8,0.6,0.6,0.8,0.6,0.6,0.8,0.6,0.6,0.2,0.4,0.8,0.8,0.8,0.6,0,0.8,1,1,1,1,0,1,0.6,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.6,0.6,0.6,0.8,0.8,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0,1,0.8,0.8,1,0.6
