Row,WCrobust04,rpl_wcrobust04_1,rpl_wcrobust04_10,rpl_wcrobust04_11,rpl_wcrobust04_12,rpl_wcrobust04_13,rpl_wcrobust04_14,rpl_wcrobust04_15,rpl_wcrobust04_16,rpl_wcrobust04_17,rpl_wcrobust04_18,rpl_wcrobust04_19,rpl_wcrobust04_2,rpl_wcrobust04_20,rpl_wcrobust04_21,rpl_wcrobust04_22,rpl_wcrobust04_23,rpl_wcrobust04_24,rpl_wcrobust04_25,rpl_wcrobust04_26,rpl_wcrobust04_27,rpl_wcrobust04_28,rpl_wcrobust04_29,rpl_wcrobust04_3,rpl_wcrobust04_30,rpl_wcrobust04_31,rpl_wcrobust04_32,rpl_wcrobust04_33,rpl_wcrobust04_34,rpl_wcrobust04_35,rpl_wcrobust04_36,rpl_wcrobust04_37,rpl_wcrobust04_38,rpl_wcrobust04_39,rpl_wcrobust04_4,rpl_wcrobust04_40,rpl_wcrobust04_41,rpl_wcrobust04_42,rpl_wcrobust04_43,rpl_wcrobust04_44,rpl_wcrobust04_45,rpl_wcrobust04_46,rpl_wcrobust04_47,rpl_wcrobust04_48,rpl_wcrobust04_49,rpl_wcrobust04_5,rpl_wcrobust04_50,rpl_wcrobust04_6,rpl_wcrobust04_7,rpl_wcrobust04_8,rpl_wcrobust04_9
307,0.65,0.85,0.55,0.85,0.9,0.9,0.85,0.85,0.75,0.75,0.7,0.8,0.85,0.8,0.95,0.25,0.65,0.85,0.95,0.9,0.95,0.3,0.75,0.85,0.55,0.8,0.8,0.85,0.65,0.3,0.95,0.95,0.85,0.85,0.95,0.95,0.95,0.85,0.8,0.8,0.85,0.85,0.85,0.85,0.9,0.3,0.85,0.8,0.8,0.9,0.85
310,0.9,0.85,0.35,0.75,0.8,0.8,0.85,0.85,0.85,0.85,0.7,0.85,0.8,0.9,0.75,0.15,0.75,0.85,0.75,0.8,0.7,0.25,0.7,0.85,0.9,0.7,0.75,0.8,0.75,0,0.05,0.05,0.35,0.85,0.75,0.85,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.8,0.8,0.25,0.75,0.75,0.9,0.8,0.9
321,0.75,0.65,0,0.4,0.75,0.75,0.75,0.7,0.65,0.35,0.45,0.85,0.9,0.7,0.6,0,0.45,0.55,0.8,0.65,0.5,0,0.5,0.65,0.3,0.3,0.6,0.9,0.55,0,0,0.7,0.7,0.7,0.55,0.35,0.55,0.65,0.65,0.7,0.75,0.9,0.85,0.85,0.65,0,0.5,0.6,0.7,0.65,0.75
325,0.8,0.9,0.1,0.3,0.45,0.55,0.9,0.9,0.8,0.7,0.7,0.9,0.9,0.85,0.8,0.15,0.8,0.9,0.3,1,0.65,0.1,0.8,0.9,0.4,0.4,0.95,0.9,0.75,0,0,0.05,0.05,0.9,0.85,0.9,0.9,0.9,1,1,0.95,0.95,1,1,0.15,0.1,0.1,0.95,0.85,1,0.7
330,0.4,0.5,0,0.35,0.45,0.5,0.5,0.5,0.5,0.45,0.35,0.2,0.2,0.5,0.65,0.05,0.65,0.6,0.25,0.45,0.6,0.1,0.65,0.5,0.5,0.55,0.6,0.2,0.2,0,0,0.5,0.5,0.5,0.65,0.65,0.6,0.5,0.3,0.25,0.55,0.55,0.6,0.5,0.5,0.1,0.65,0.6,0.5,0.45,0.35
336,0.4,0.2,0,0.05,0.1,0.1,0.1,0.05,0,0,0,0.7,0.75,0.1,0.2,0,0.05,0.3,0.7,0.25,0.15,0,0.1,0.2,0,0,0.05,0.75,0,0,0,0,0,0.05,0.2,0,0,0.05,0.35,0.4,0.15,0.15,0.1,0.1,0.2,0,0.05,0.05,0.1,0.25,0
341,0.55,0.65,0.25,0.35,0.5,0.5,0.6,0.6,0.6,0.55,0.45,0.35,0.45,0.6,0.6,0.05,0.4,0.6,0.35,0.65,0.55,0.05,0.5,0.65,0.8,0.4,0.5,0.45,0.65,0,0,0,0.55,0.55,0.6,0.5,0.5,0.65,0.65,0.65,0.7,0.6,0.65,0.6,0.55,0.05,0.5,0.5,0.6,0.65,0.75
344,0.1,0.65,0,0.6,0.65,0.6,0.6,0.3,0.1,0.05,0.1,0.45,0.5,0.6,0.6,0,0.4,0.5,0.5,0.5,0.5,0,0.4,0.65,0.55,0.35,0.4,0.5,0.3,0,0,0,0,0.05,0.6,0.6,0.6,0.65,0.7,0.7,0.7,0.65,0.65,0.6,0.55,0,0.45,0.45,0.6,0.5,0.55
345,1,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.85,0.75,0.6,1,1,0.95,1,0.3,0.85,0.95,0.95,0.95,1,0.3,0.9,0.95,0.9,0.95,0.85,1,1,0,0,0.2,0.95,0.95,1,0.95,0.95,0.95,1,1,0.95,0.95,1,1,1,0.25,0.9,0.85,0.95,0.95,0.95
347,0.85,0.95,0.6,0.8,0.85,0.95,0.95,0.95,0.8,0.8,0.8,0.9,0.85,0.95,0.95,0.1,0.7,0.95,0.85,0.95,0.95,0.15,0.8,0.95,0.9,0.7,0.75,0.85,0.65,0.15,0.95,0.95,0.95,0.95,0.95,0.85,0.9,0.95,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.15,0.75,0.75,0.95,0.95,0.85
350,0.85,0.9,0.65,0.85,0.9,0.85,0.9,0.9,0.95,0.8,0.8,0.95,0.95,0.85,0.9,0,0.7,0.85,0.9,0.9,0.9,0.15,0.85,0.9,0.85,0.75,0.7,0.95,0.85,0.05,0.05,0.85,0.85,0.9,0.95,0.85,0.85,0.9,0.9,0.9,0.95,0.95,0.85,0.8,0.9,0.1,0.8,0.7,0.85,0.9,0.9
353,0.9,0.95,0.45,0.8,0.85,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0,0.8,0.9,0.95,0.95,0.85,0,0.75,0.95,0.95,0.7,0.9,0.95,0.95,0.15,0.95,0.95,0.95,0.95,0.9,0.8,0.9,0.95,0.95,0.95,0.95,0.95,0.75,0.6,0.65,0,0.25,0.9,0.95,0.95,0.95
354,1,0.9,0.35,0.7,0.95,0.95,0.95,0.9,0.9,0.8,0.6,0.95,0.95,0.95,0.95,0.4,0.85,1,1,0.95,0.8,0.45,0.85,0.9,0.7,0.6,0.8,0.95,0.9,0.05,0.9,0.95,0.95,0.95,0.95,0.85,0.9,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5,0.6,0.8,0.95,0.95,0.95
355,0.45,0.5,0.1,0.45,0.5,0.55,0.5,0.45,0.4,0.35,0.05,0.35,0.35,0.45,0.6,0,0.5,0.55,0.3,0.55,0.55,0,0.5,0.5,0.4,0.55,0.45,0.35,0.4,0,0,0,0.5,0.5,0.55,0.45,0.5,0.5,0.5,0.55,0.55,0.6,0.6,0.55,0.6,0,0.55,0.45,0.45,0.55,0.55
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0.9,0.95,0.85,0.9,0.95,0.95,0.95,0.85,0.55,0.65,0.9,0.95,0.9,0.95,0.95,0.15,0.85,0.9,0.8,0.9,0.95,0.15,0.9,0.95,0.95,0.95,0.9,0.9,0.45,0.05,0.05,0.05,0.9,0.95,0.95,0.85,0.85,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.15,1,0.9,0.95,0.9,0.95
363,0.6,0.9,0.05,0.55,0.65,0.8,0.9,0.75,0.6,0.15,0.05,0.95,1,0.7,0.8,0,0.55,0.55,0.9,0.7,0.5,0.05,0.7,0.9,0.5,0.2,0.6,1,0.7,0,0,0,0.85,0.85,0.8,0.75,0.8,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.05,0.05,0.6,0.7,0.7,0.35
367,0.4,0.35,0,0.2,0.35,0.35,0.4,0.45,0.4,0.4,0.45,0.4,0.35,0.3,0.1,0,0.15,0.35,0.5,0.3,0.05,0,0.25,0.35,0.2,0.05,0.15,0.35,0.3,0,0.2,0.3,0.35,0.35,0.1,0.3,0.3,0.35,0.4,0.4,0.35,0.35,0.35,0.25,0.05,0,0,0.15,0.3,0.3,0.35
372,0.65,0.65,0.3,0.4,0.55,0.7,0.6,0.6,0.55,0.65,0.7,0.7,0.8,0.55,0.65,0.2,0.3,0.8,0.6,0.75,0.65,0.15,0.7,0.65,0.55,0.55,0.45,0.8,0.65,0,0.05,0.55,0.55,0.55,0.65,0.65,0.65,0.6,0.7,0.75,0.65,0.65,0.75,0.75,0.7,0.1,0.55,0.45,0.55,0.75,0.55
375,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.2,0.2,0.1,0.05,0,0.1,0.1,0.2,0.1,0.05,0,0.1,0.1,0,0.05,0.1,0.2,0.1,0,0,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0,0.1,0.1,0.1,0.1,0.05
378,0.75,0.7,0.75,0.75,0.8,0.9,0.75,0.8,0.65,0.75,0.25,0.8,0.7,0.7,0.75,0,0.65,0.75,0.65,0.75,0.75,0,0.65,0.7,0.55,0.65,0.65,0.7,0.35,0,0,0.75,0.75,0.75,0.75,0.75,0.75,0.7,0.75,0.8,0.7,0.7,0.7,0.75,0.75,0,0.7,0.65,0.7,0.75,0.6
379,0.35,0.55,0.05,0.35,0.5,0.5,0.45,0.45,0.2,0.2,0.05,0.5,0.55,0.55,0.7,0,0.2,0.7,0.7,0.65,0.45,0,0.5,0.55,0.4,0.1,0.2,0.55,0.15,0,0,0,0,0.6,0.7,0.6,0.6,0.6,0.5,0.45,0.55,0.6,0.7,0.65,0.4,0,0.3,0.2,0.55,0.65,0.3
