Row,WCrobust04,rpl_wcrobust04_1,rpl_wcrobust04_10,rpl_wcrobust04_11,rpl_wcrobust04_12,rpl_wcrobust04_13,rpl_wcrobust04_14,rpl_wcrobust04_15,rpl_wcrobust04_16,rpl_wcrobust04_17,rpl_wcrobust04_18,rpl_wcrobust04_19,rpl_wcrobust04_2,rpl_wcrobust04_20,rpl_wcrobust04_21,rpl_wcrobust04_22,rpl_wcrobust04_23,rpl_wcrobust04_24,rpl_wcrobust04_25,rpl_wcrobust04_26,rpl_wcrobust04_27,rpl_wcrobust04_28,rpl_wcrobust04_29,rpl_wcrobust04_3,rpl_wcrobust04_30,rpl_wcrobust04_31,rpl_wcrobust04_32,rpl_wcrobust04_33,rpl_wcrobust04_34,rpl_wcrobust04_35,rpl_wcrobust04_36,rpl_wcrobust04_37,rpl_wcrobust04_38,rpl_wcrobust04_39,rpl_wcrobust04_4,rpl_wcrobust04_40,rpl_wcrobust04_41,rpl_wcrobust04_42,rpl_wcrobust04_43,rpl_wcrobust04_44,rpl_wcrobust04_45,rpl_wcrobust04_46,rpl_wcrobust04_47,rpl_wcrobust04_48,rpl_wcrobust04_49,rpl_wcrobust04_5,rpl_wcrobust04_50,rpl_wcrobust04_6,rpl_wcrobust04_7,rpl_wcrobust04_8,rpl_wcrobust04_9
307,0.7,0.9,0.6,0.9,0.8,0.9,0.9,0.8,0.7,0.8,0.6,0.9,0.9,0.8,1,0.2,0.7,0.9,1,1,0.9,0.2,0.8,0.9,0.4,0.9,0.8,0.9,0.5,0.3,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0.6,0.6,0.9,0.9,0.8,0.9,1,0.3,0.9,0.8,0.8,1,0.9
310,0.8,0.8,0.5,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,1,1,0.8,0.8,0.2,0.7,0.8,0.9,0.8,0.7,0.2,0.7,0.8,0.9,0.7,0.7,1,0.9,0,0.1,0.1,0.5,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.7,0.7,0.8,0.9,0.9,0.1,0.8,0.6,0.8,0.8,0.9
321,0.6,0.8,0,0.5,0.7,0.6,0.9,1,0.8,0.3,0.4,0.9,0.9,0.5,0.6,0,0.5,0.4,0.7,0.7,0.6,0,0.7,0.8,0.3,0.4,0.6,0.9,0.7,0,0,0.8,0.8,0.8,0.6,0.1,0.3,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0,0.6,0.6,0.5,0.7,0.8
325,0.8,1,0.1,0.4,0.6,0.6,0.8,0.8,0.8,0.7,0.8,0.9,1,0.8,0.9,0.2,1,1,0.4,1,0.9,0,1,1,0.6,0.5,0.9,1,0.9,0,0,0.1,0.1,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,0.3,0,0,0.9,0.8,1,0.6
330,0.4,0.7,0,0.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.7,0.8,0.1,0.7,0.8,0.3,0.7,0.9,0.1,0.7,0.7,0.5,0.7,0.6,0.3,0.2,0,0,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.2,0.2,0.7,0.7,0.7,0.8,0.9,0.1,0.8,0.6,0.7,0.7,0.5
336,0.5,0.1,0,0,0.1,0.2,0,0,0,0,0,0.6,0.7,0.1,0.4,0,0.1,0.2,0.7,0.2,0.2,0,0.1,0.1,0,0,0.1,0.7,0,0,0,0,0,0,0.4,0,0,0,0.4,0.4,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.2,0
341,0.7,0.7,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.4,0.4,0.5,0.7,0.7,0.1,0.3,0.8,0.5,0.7,0.6,0.1,0.6,0.7,0.8,0.5,0.4,0.5,0.8,0,0,0,0.6,0.6,0.7,0.7,0.6,0.6,0.8,0.8,0.7,0.8,0.7,0.6,0.7,0.1,0.5,0.4,0.7,0.7,0.8
344,0.1,0.7,0,0.7,0.7,0.8,0.7,0.6,0.1,0.1,0.1,0.6,0.6,0.7,0.6,0,0.4,0.6,0.5,0.5,0.6,0,0.4,0.7,0.7,0.3,0.3,0.6,0.4,0,0,0,0,0,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0,0.6,0.3,0.7,0.4,0.8
345,1,1,0.9,1,0.9,0.9,0.9,0.9,0.9,0.8,0.5,1,1,1,1,0.3,0.9,1,1,0.9,1,0.3,0.9,1,1,0.9,0.9,1,1,0,0,0.2,1,1,1,0.9,0.9,0.9,1,1,1,1,1,1,1,0.3,1,0.9,1,0.9,1
347,1,0.9,0.6,0.9,0.9,0.9,1,1,1,1,0.9,1,1,0.9,1,0,0.6,0.9,0.8,0.9,0.9,0.1,0.7,0.9,0.9,0.7,0.7,1,0.9,0.2,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0.8,0.7,0,0.9,0.7,0.9,0.9,0.9
